Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1990-05-07|Bradford|Oldham|1|1|2
1990-05-05|Lincoln|Exeter|1|5|4
1990-05-05|Torquay|York|1|1|4
1990-05-05|Wrexham|Hartlepool|1|2|4
1990-05-05|Aldershot|Cambridge U|0|2|4
1990-05-05|Colchester|Burnley|1|2|4
1990-05-05|Maidstone|Carlisle|5|2|4
1990-05-05|Rochdale|Hereford|5|2|4
1990-05-05|Chesterfield|Grimsby|2|0|4
1990-05-05|Halifax|Stockport|1|2|4
1990-05-05|Peterborough|Southend|1|2|4
1990-05-05|Scarborough|Gillingham|0|1|4
1990-05-05|Scunthorpe|Doncaster|4|1|4
1990-05-05|Sheff Wed|Nottm Forest|0|3|1
1990-05-05|Tottenham|Southampton|2|1|1
1990-05-05|QPR|Wimbledon|2|3|1
1990-05-05|Norwich|Arsenal|2|2|1
1990-05-05|Coventry|Liverpool|1|6|1
1990-05-05|C Palace|Man City|2|2|1
1990-05-05|Millwall|Chelsea|1|3|1
1990-05-05|Everton|Aston Villa|3|3|1
1990-05-05|Man Utd|Charlton|1|0|1
1990-05-05|Derby|Luton|2|3|1
1990-05-05|Portsmouth|Barnsley|2|1|2
1990-05-05|Blackburn|Brighton|1|1|2
1990-05-05|Bournemouth|Leeds|0|1|2
1990-05-05|Middlesbro|Newcastle|4|1|2
1990-05-05|Oxford|Port Vale|0|0|2
1990-05-05|Stoke|Swindon|1|1|2
1990-05-05|Watford|Hull|3|1|2
1990-05-05|West Brom|Ipswich|1|3|2
1990-05-05|Sunderland|Oldham|2|3|2
1990-05-05|Bradford|Plymouth|0|1|2
1990-05-05|West Ham|Wolves|4|0|2
1990-05-05|Leicester|Sheff Utd|2|5|2
1990-05-05|Shrewsbury|Preston|2|0|3
1990-05-05|Huddersfield|Chester|4|1|3
1990-05-05|Fulham|Leyton Orient|1|2|3
1990-05-05|Birmingham|Reading|0|1|3
1990-05-05|Tranmere|Brentford|2|2|3
1990-05-05|Blackpool|Bristol R|0|3|3
1990-05-05|Notts Co|Mansfield|4|2|3
1990-05-05|Bristol C|Walsall|4|0|3
1990-05-05|Rotherham|Northampton|2|0|3
1990-05-05|Bury|Cardiff|2|0|3
1990-05-05|Crewe|Wigan|3|2|3
1990-05-05|Swansea|Bolton|0|0|3
1990-05-03|Oldham|Wolves|1|1|2
1990-05-03|Reading|Notts Co|1|1|3
1990-05-02|Nottm Forest|Man Utd|4|0|1
1990-05-02|Wimbledon|C Palace|0|1|1
1990-05-02|Arsenal|Southampton|2|1|1
1990-05-02|Middlesbro|Barnsley|0|1|2
1990-05-02|West Ham|Leicester|3|1|2
1990-05-02|Tranmere|Northampton|0|0|3
1990-05-02|Brentford|Swansea|2|1|3
1990-05-02|Bristol R|Bristol C|3|0|3
1990-05-01|Aldershot|Hereford|0|2|4
1990-05-01|Chesterfield|Scunthorpe|1|1|4
1990-05-01|Exeter|Burnley|2|1|4
1990-05-01|Cambridge U|Gillingham|2|1|4
1990-05-01|Liverpool|Derby|1|0|1
1990-05-01|Hull|Ipswich|4|3|2
1990-05-01|Port Vale|Sunderland|1|2|2
1990-05-01|Blackburn|Sheff Utd|0|0|2
1990-05-01|Oldham|Oxford|4|1|2
1990-05-01|Bolton|Huddersfield|2|2|3
1990-05-01|Walsall|Rotherham|1|1|3
1990-05-01|Cardiff|Reading|3|2|3
1990-04-30|Man Utd|Wimbledon|0|0|1
1990-04-30|Blackpool|Swansea|2|2|3
1990-04-30|Northampton|Crewe|3|1|3
1990-04-29|Cambridge U|Colchester|4|0|4
1990-04-28|Doncaster|Rochdale|4|0|4
1990-04-28|Gillingham|Lincoln|1|1|4
1990-04-28|York|Maidstone|0|0|4
1990-04-28|Grimsby|Wrexham|5|1|4
1990-04-28|Carlisle|Torquay|2|0|4
1990-04-28|Hartlepool|Aldershot|2|0|4
1990-04-28|Stockport|Chesterfield|3|1|4
1990-04-28|Burnley|Scunthorpe|0|1|4
1990-04-28|Exeter|Scarborough|3|2|4
1990-04-28|Hereford|Peterborough|1|2|4
1990-04-28|Charlton|Sheff Wed|1|2|1
1990-04-28|Chelsea|Everton|2|1|1
1990-04-28|Liverpool|QPR|2|1|1
1990-04-28|Luton|C Palace|1|0|1
1990-04-28|Wimbledon|Tottenham|1|0|1
1990-04-28|Arsenal|Millwall|2|0|1
1990-04-28|Aston Villa|Norwich|3|3|1
1990-04-28|Southampton|Coventry|3|0|1
1990-04-28|Man City|Derby|0|1|1
1990-04-28|Sheff Utd|Bournemouth|4|2|2
1990-04-28|Hull|Bradford|2|1|2
1990-04-28|Newcastle|West Ham|2|1|2
1990-04-28|Wolves|Sunderland|0|1|2
1990-04-28|Port Vale|Portsmouth|1|1|2
1990-04-28|Ipswich|Blackburn|3|1|2
1990-04-28|Brighton|Stoke|1|4|2
1990-04-28|Barnsley|West Brom|2|2|2
1990-04-28|Swindon|Middlesbro|1|1|2
1990-04-28|Leeds|Leicester|2|1|2
1990-04-28|Plymouth|Watford|0|0|2
1990-04-28|Leyton Orient|Birmingham|1|2|3
1990-04-28|Preston|Swansea|2|0|3
1990-04-28|Northampton|Huddersfield|1|0|3
1990-04-28|Reading|Bury|1|0|3
1990-04-28|Bolton|Bristol C|1|0|3
1990-04-28|Brentford|Blackpool|5|0|3
1990-04-28|Bristol R|Shrewsbury|1|0|3
1990-04-28|Chester|Rotherham|2|0|3
1990-04-28|Walsall|Tranmere|2|1|3
1990-04-28|Mansfield|Crewe|2|1|3
1990-04-28|Wigan|Notts Co|1|1|3
1990-04-28|Cardiff|Fulham|3|3|3
1990-04-27|Southend|Halifax|2|0|4
1990-04-26|Notts Co|Bristol R|3|1|3
1990-04-25|Maidstone|Torquay|5|1|4
1990-04-25|Chesterfield|Cambridge U|1|1|4
1990-04-25|Exeter|Southend|2|1|4
1990-04-25|Hereford|York|1|2|4
1990-04-25|Scarborough|Peterborough|2|1|4
1990-04-25|Newcastle|Swindon|0|0|2
1990-04-25|Middlesbro|Ipswich|1|2|2
1990-04-25|Oxford|Brighton|0|1|2
1990-04-25|Leeds|Barnsley|1|2|2
1990-04-24|Wrexham|Gillingham|2|1|4
1990-04-24|Colchester|Doncaster|2|0|4
1990-04-24|Grimsby|Hartlepool|0|0|4
1990-04-24|Rochdale|Aldershot|2|0|4
1990-04-24|Carlisle|Lincoln|1|2|4
1990-04-24|Halifax|Burnley|0|0|4
1990-04-24|Portsmouth|Oldham|2|1|2
1990-04-24|Hull|Plymouth|3|3|2
1990-04-24|Watford|Stoke|1|1|2
1990-04-24|Shrewsbury|Fulham|2|0|3
1990-04-24|Birmingham|Notts Co|1|2|3
1990-04-24|Blackpool|Chester|1|3|3
1990-04-24|Northampton|Mansfield|1|2|3
1990-04-24|Bristol C|Huddersfield|1|1|3
1990-04-24|Rotherham|Reading|1|1|3
1990-04-24|Bury|Bolton|2|0|3
1990-04-24|Crewe|Leyton Orient|0|1|3
1990-04-24|Wigan|Preston|0|1|3
1990-04-24|Cardiff|Walsall|3|1|3
1990-04-23|Cambridge U|Stockport|0|2|4
1990-04-23|Tranmere|Bristol R|1|2|3
1990-04-21|Lincoln|Rochdale|1|2|4
1990-04-21|Torquay|Colchester|4|1|4
1990-04-21|Doncaster|Halifax|3|4|4
1990-04-21|Gillingham|Exeter|1|1|4
1990-04-21|Aldershot|Scarborough|1|1|4
1990-04-21|York|Chesterfield|4|0|4
1990-04-21|Hartlepool|Maidstone|4|2|4
1990-04-21|Burnley|Wrexham|2|3|4
1990-04-21|Peterborough|Cambridge U|1|2|4
1990-04-21|Scunthorpe|Hereford|3|3|4
1990-04-21|Liverpool|Chelsea|4|1|1
1990-04-21|Tottenham|Man Utd|2|1|1
1990-04-21|QPR|Sheff Wed|1|0|1
1990-04-21|Luton|Arsenal|2|0|1
1990-04-21|C Palace|Charlton|2|0|1
1990-04-21|Wimbledon|Coventry|0|0|1
1990-04-21|Aston Villa|Millwall|1|0|1
1990-04-21|Southampton|Nottm Forest|2|0|1
1990-04-21|Man City|Everton|1|0|1
1990-04-21|Derby|Norwich|0|2|1
1990-04-21|Sheff Utd|Port Vale|2|1|2
1990-04-21|Wolves|Oxford|2|0|2
1990-04-21|Ipswich|Hull|0|1|2
1990-04-21|Brighton|Leeds|2|2|2
1990-04-21|Oldham|West Ham|3|0|2
1990-04-21|Stoke|Blackburn|0|1|2
1990-04-21|Sunderland|Portsmouth|2|2|2
1990-04-21|Barnsley|Bournemouth|0|1|2
1990-04-21|Swindon|West Brom|2|1|2
1990-04-21|Bradford|Watford|2|1|2
1990-04-21|Plymouth|Newcastle|1|1|2
1990-04-21|Leicester|Middlesbro|2|1|2
1990-04-21|Leyton Orient|Bristol C|1|1|3
1990-04-21|Preston|Birmingham|2|2|3
1990-04-21|Huddersfield|Rotherham|2|1|3
1990-04-21|Fulham|Blackpool|0|0|3
1990-04-21|Reading|Northampton|3|2|3
1990-04-21|Notts Co|Cardiff|2|1|3
1990-04-21|Bolton|Shrewsbury|0|1|3
1990-04-21|Bristol R|Crewe|1|1|3
1990-04-21|Walsall|Bury|2|2|3
1990-04-21|Mansfield|Brentford|2|3|3
1990-04-21|Swansea|Wigan|3|0|3
1990-04-20|Southend|Grimsby|0|2|4
1990-04-20|Stockport|Carlisle|3|1|4
1990-04-20|Chester|Tranmere|2|2|3
1990-04-18|Arsenal|Liverpool|1|1|1
1990-04-18|Plymouth|Oldham|2|0|2
1990-04-17|Grimsby|Scunthorpe|2|1|4
1990-04-17|Cambridge U|Lincoln|2|1|4
1990-04-17|Charlton|Wimbledon|1|2|1
1990-04-17|Man Utd|Aston Villa|2|0|1
1990-04-17|Bournemouth|Leicester|2|3|2
1990-04-17|Watford|Barnsley|2|2|2
1990-04-17|West Ham|Ipswich|2|0|2
1990-04-17|Shrewsbury|Notts Co|2|2|3
1990-04-16|Wrexham|Doncaster|0|0|4
1990-04-16|Colchester|Southend|0|2|4
1990-04-16|Maidstone|Gillingham|0|1|4
1990-04-16|Rochdale|Stockport|1|1|4
1990-04-16|Carlisle|Burnley|1|1|4
1990-04-16|Chesterfield|Peterborough|1|1|4
1990-04-16|Halifax|York|2|2|4
1990-04-16|Exeter|Aldershot|2|0|4
1990-04-16|Hereford|Torquay|0|0|4
1990-04-16|Scarborough|Hartlepool|4|1|4
1990-04-16|Chelsea|C Palace|3|0|1
1990-04-16|Nottm Forest|Luton|3|0|1
1990-04-16|Norwich|Man City|0|1|1
1990-04-16|Coventry|QPR|1|1|1
1990-04-16|Millwall|Tottenham|0|1|1
1990-04-16|Everton|Derby|2|1|1
1990-04-16|Portsmouth|Brighton|3|0|2
1990-04-16|Hull|Wolves|2|0|2
1990-04-16|Newcastle|Stoke|3|0|2
1990-04-16|Port Vale|Oldham|2|0|2
1990-04-16|Blackburn|Swindon|2|1|2
1990-04-16|Middlesbro|Bradford|2|0|2
1990-04-16|Oxford|Sunderland|0|1|2
1990-04-16|West Brom|Plymouth|0|3|2
1990-04-16|Leeds|Sheff Utd|4|0|2
1990-04-16|Birmingham|Bristol R|2|2|3
1990-04-16|Tranmere|Preston|2|1|3
1990-04-16|Blackpool|Bolton|2|1|3
1990-04-16|Northampton|Leyton Orient|0|1|3
1990-04-16|Bristol C|Fulham|5|1|3
1990-04-16|Brentford|Reading|1|1|3
1990-04-16|Rotherham|Mansfield|0|0|3
1990-04-16|Bury|Huddersfield|6|0|3
1990-04-16|Crewe|Walsall|3|1|3
1990-04-16|Wigan|Chester|1|0|3
1990-04-16|Cardiff|Swansea|0|2|3
1990-04-14|Lincoln|Scarborough|0|0|4
1990-04-14|Torquay|Exeter|0|2|4
1990-04-14|Doncaster|Chesterfield|1|0|4
1990-04-14|Gillingham|Hereford|0|1|4
1990-04-14|Southend|Rochdale|3|2|4
1990-04-14|Aldershot|Maidstone|0|2|4
1990-04-14|York|Carlisle|0|1|4
1990-04-14|Hartlepool|Colchester|0|2|4
1990-04-14|Stockport|Grimsby|2|4|4
1990-04-14|Burnley|Cambridge U|1|3|4
1990-04-14|Peterborough|Halifax|3|0|4
1990-04-14|Scunthorpe|Wrexham|3|1|4
1990-04-14|Liverpool|Nottm Forest|2|2|1
1990-04-14|Tottenham|Coventry|3|2|1
1990-04-14|QPR|Man Utd|1|2|1
1990-04-14|Luton|Everton|2|2|1
1990-04-14|C Palace|Arsenal|1|1|1
1990-04-14|Wimbledon|Norwich|1|1|1
1990-04-14|Aston Villa|Chelsea|1|0|1
