Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1923-02-17|Preston|Huddersfield|1|0|1
1923-02-17|Chelsea|Arsenal|0|0|1
1923-02-17|Sheff Utd|Birmingham|7|1|1
1923-02-17|Liverpool|Blackburn|3|0|1
1923-02-17|Tottenham|Bolton|0|1|1
1923-02-17|Nottm Forest|Cardiff|3|2|1
1923-02-17|Oldham|Sunderland|0|0|1
1923-02-17|Aston Villa|Stoke|6|0|1
1923-02-17|Middlesbro|Everton|2|4|1
1923-02-17|Burnley|Man City|2|0|1
1923-02-17|Leyton Orient|C Palace|3|1|2
1923-02-17|Wolves|Blackpool|3|4|2
1923-02-17|Port Vale|Southampton|0|0|2
1923-02-17|Gateshead|Leicester|2|1|2
1923-02-17|Coventry|Bradford|2|1|2
1923-02-17|Rotherham|Fulham|1|3|2
1923-02-17|Bury|Notts Co|2|2|2
1923-02-17|Stockport|Hull|1|1|2
1923-02-17|Man Utd|Derby|0|0|2
1923-02-17|West Ham|Barnsley|0|0|2
1923-02-17|Leeds|Sheff Wed|0|0|2
1923-02-17|Tranmere|Hartlepool|1|1|3N
1923-02-17|Accrington|Barrow|3|4|3N
1923-02-17|Durham City|Lincoln|7|1|3N
1923-02-17|Crewe|Southport|1|0|3N
1923-02-17|Chesterfield|Stalybridge|1|0|3N
1923-02-17|Ashington|Grimsby|2|1|3N
1923-02-17|Halifax|Wrexham|1|1|3N
1923-02-17|Wigan Borough|Nelson|3|1|3N
1923-02-17|Bradford PA|Darlington (old)|2|1|3N
1923-02-17|Portsmouth|Merthyr T (old)|1|1|3S
1923-02-17|Aberdare Ath.|Brentford|0|0|3S
1923-02-17|QPR|Bristol R|3|1|3S
1923-02-17|Gillingham|Plymouth|1|0|3S
1923-02-17|Northampton|Newport C (old)|2|1|3S
1923-02-17|Luton|Reading|1|2|3S
1923-02-17|Bristol C|Exeter|1|1|3S
1923-02-17|Brighton|Charlton|1|0|3S
1923-02-17|Millwall|Southend|1|1|3S
1923-02-17|Swansea|Norwich|3|1|3S
1923-02-17|Swindon|Watford|1|1|3S
1923-02-15|Leicester|West Ham|0|6|2
1923-02-14|Chelsea|Everton|3|1|1
1923-02-14|Tottenham|Blackburn|2|0|1
1923-02-14|Newcastle|West Brom|2|0|1
1923-02-14|Bury|Fulham|0|1|2
1923-02-14|Gillingham|Charlton|2|2|3S
1923-02-14|Reading|Millwall|1|2|3S
1923-02-14|Bristol C|Merthyr T (old)|3|0|3S
1923-02-10|Huddersfield|Sheff Utd|2|1|1
1923-02-10|Birmingham|Oldham|2|3|1
1923-02-10|Blackburn|Tottenham|1|0|1
1923-02-10|Bolton|Burnley|2|1|1
1923-02-10|Arsenal|Nottm Forest|2|0|1
1923-02-10|Stoke|Preston|4|2|1
1923-02-10|Everton|Chelsea|3|1|1
1923-02-10|Man City|Aston Villa|1|1|1
1923-02-10|West Brom|Liverpool|0|0|1
1923-02-10|Sunderland|Middlesbro|2|1|1
1923-02-10|Cardiff|Newcastle|5|0|1
1923-02-10|Sheff Wed|Stockport|4|1|2
1923-02-10|Hull|Leyton Orient|2|1|2
1923-02-10|Fulham|Bury|3|0|2
1923-02-10|Blackpool|Gateshead|3|0|2
1923-02-10|Notts Co|Man Utd|1|6|2
1923-02-10|C Palace|Rotherham|4|0|2
1923-02-10|Southampton|Coventry|3|0|2
1923-02-10|Barnsley|Leeds|1|0|2
1923-02-10|Bradford|Wolves|1|1|2
1923-02-10|Derby|Port Vale|1|2|2
1923-02-10|West Ham|Leicester|2|2|2
1923-02-10|Lincoln|Tranmere|2|0|3N
1923-02-10|Nelson|Durham City|4|0|3N
1923-02-10|Rochdale|Accrington|1|1|3N
1923-02-10|Southport|Chesterfield|0|2|3N
1923-02-10|Barrow|Grimsby|2|0|3N
1923-02-10|Ashington|Crewe|2|4|3N
1923-02-10|Hartlepool|Bradford PA|0|1|3N
1923-02-10|Walsall|Wrexham|1|0|3N
1923-02-10|Darlington (old)|Halifax|0|1|3N
1923-02-10|Charlton|Gillingham|3|1|3S
1923-02-10|Norwich|Aberdare Ath.|1|4|3S
1923-02-10|Northampton|Swansea|1|3|3S
1923-02-10|Southend|Portsmouth|0|0|3S
1923-02-10|Brentford|Swindon|3|0|3S
1923-02-10|Bristol R|Luton|1|1|3S
1923-02-10|Merthyr T (old)|Bristol C|0|1|3S
1923-02-10|Millwall|Reading|0|0|3S
1923-02-10|Exeter|Newport C (old)|4|0|3S
1923-02-10|Watford|Brighton|1|2|3S
1923-02-10|Plymouth|QPR|2|0|3S
1923-02-08|Preston|Stoke|4|2|1
1923-02-07|Liverpool|West Brom|2|0|1
1923-02-03|Nottm Forest|Arsenal|2|1|1
1923-02-03|Oldham|Birmingham|2|0|1
