Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1991-11-23|QPR|Oldham|1|3|1
1991-09-17|Brentford|Hull|4|1|3
1992-03-03|Peterborough|Huddersfield|2|0|3
1991-12-20|Peterborough|Hull|3|0|3
1991-10-05|Peterborough|Leyton Orient|0|2|3
1992-01-11|Blackburn|Bristol C|4|0|2
1992-04-25|Brighton|Sunderland|2|2|2
1991-08-17|Port Vale|Oxford|2|1|2
1991-09-17|Swindon|Bristol R|1|0|2
1991-08-23|Tranmere|Bristol R|2|2|2
1992-05-05|Rochdale|Burnley|1|3|4
1992-05-02|Lincoln|Blackpool|2|0|4
1992-05-02|Doncaster|Maidstone|3|0|4
1992-05-02|Gillingham|Halifax|2|0|4
1992-05-02|York|Barnet|1|4|4
1992-05-02|Rotherham|Chesterfield|1|1|4
1992-05-02|Walsall|Crewe|2|3|4
1992-05-02|Burnley|Wrexham|1|2|4
1992-05-02|Mansfield|Rochdale|2|1|4
1992-05-02|Scunthorpe|Carlisle|4|0|4
1992-05-02|Sheff Wed|Liverpool|0|0|1
1992-05-02|QPR|C Palace|1|0|1
1992-05-02|Notts Co|Luton|2|1|1
1992-05-02|Oldham|Man City|2|5|1
1992-05-02|Wimbledon|Sheff Utd|3|0|1
1992-05-02|Arsenal|Southampton|5|1|1
1992-05-02|Aston Villa|Coventry|2|0|1
1992-05-02|Everton|Chelsea|2|1|1
1992-05-02|Man Utd|Tottenham|3|1|1
1992-05-02|West Ham|Nottm Forest|3|0|1
1992-05-02|Leeds|Norwich|1|0|1
1992-05-02|Portsmouth|Barnsley|2|0|2
1992-05-02|Wolves|Middlesbro|1|2|2
1992-05-02|Port Vale|Grimsby|0|1|2
1992-05-02|Tranmere|Oxford|1|2|2
1992-05-02|Ipswich|Brighton|3|1|2
1992-05-02|Bristol R|Charlton|1|0|2
1992-05-02|Millwall|Southend|2|0|2
1992-05-02|Watford|Bristol C|5|2|2
1992-05-02|Sunderland|Cambridge U|2|2|2
1992-05-02|Derby|Swindon|2|1|2
1992-05-02|Plymouth|Blackburn|1|3|2
1992-05-02|Leicester|Newcastle|1|2|2
1992-05-02|Preston|Bury|2|0|3
1992-05-02|Shrewsbury|West Brom|1|3|3
1992-05-02|Huddersfield|Torquay|4|0|3
1992-05-02|Hull|Swansea|3|0|3
1992-05-02|Fulham|Bradford|2|1|3
1992-05-02|Reading|Wigan|3|2|3
1992-05-02|Bolton|Stoke|3|1|3
1992-05-02|Chester|Leyton Orient|1|0|3
1992-05-02|Hartlepool|Bournemouth|1|0|3
1992-05-02|Stockport|Birmingham|2|0|3
1992-05-02|Peterborough|Brentford|0|1|3
1992-05-02|Darlington (old)|Exeter|5|2|3
1992-04-29|Scarborough|Maidstone|2|0|4
1992-04-29|Blackburn|Sunderland|2|2|2
1992-04-29|Brighton|Portsmouth|2|1|2
1992-04-29|Hull|Bolton|2|0|3
1992-04-29|Reading|Leyton Orient|3|2|3
1992-04-28|Wrexham|Rotherham|0|3|4
