Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1993-05-11|QPR|Sheff Wed|3|1|1
1993-05-11|Arsenal|Tottenham|1|3|1
1993-05-09|QPR|Aston Villa|2|1|1
1993-05-09|Wimbledon|Man Utd|1|2|1
1993-05-09|Newcastle|Leicester|7|1|2
1993-05-08|Sheff Utd|Chelsea|4|2|1
1993-05-08|Liverpool|Tottenham|6|2|1
1993-05-08|Blackburn|Sheff Wed|1|0|1
1993-05-08|Ipswich|Nottm Forest|2|1|1
1993-05-08|Coventry|Leeds|3|3|1
1993-05-08|Oldham|Southampton|4|3|1
1993-05-08|Arsenal|C Palace|3|0|1
1993-05-08|Middlesbro|Norwich|3|3|1
1993-05-08|Man City|Everton|2|5|1
1993-05-08|Portsmouth|Grimsby|2|1|2
1993-05-08|Birmingham|Charlton|1|0|2
1993-05-08|Notts Co|Sunderland|3|1|2
1993-05-08|Southend|Luton|2|1|2
1993-05-08|Bristol C|Brentford|4|1|2
1993-05-08|Millwall|Bristol R|0|3|2
1993-05-08|Watford|Oxford|0|1|2
1993-05-08|Peterborough|Tranmere|1|1|2
1993-05-08|Barnsley|Swindon|1|0|2
1993-05-08|Derby|Wolves|2|0|2
1993-05-08|West Ham|Cambridge U|2|0|2
1993-05-08|Huddersfield|Stockport|2|1|3
1993-05-08|Fulham|Exeter|1|1|3
1993-05-08|Blackpool|Port Vale|2|4|3
1993-05-08|Bolton|Preston|1|0|3
1993-05-08|Bournemouth|Wigan|0|0|3
1993-05-08|Brighton|Chester|3|2|3
1993-05-08|Stoke|Burnley|1|1|3
1993-05-08|West Brom|Hull|3|1|3
1993-05-08|Mansfield|Rotherham|1|3|3
1993-05-08|Swansea|Leyton Orient|0|1|3
1993-05-08|Bradford|Hartlepool|0|2|3
1993-05-08|Plymouth|Reading|2|2|3
1993-05-08|Shrewsbury|Northampton|2|3|4
1993-05-08|Lincoln|Darlington (old)|2|0|4
1993-05-08|Torquay|Gillingham|2|1|4
1993-05-08|Doncaster|Walsall|0|3|4
1993-05-08|Wrexham|Colchester|4|3|4
1993-05-08|Rochdale|Chesterfield|2|1|4
1993-05-08|Crewe|Barnet|4|1|4
1993-05-08|Halifax|Hereford|0|1|4
1993-05-08|Scarborough|Carlisle|2|2|4
1993-05-08|Scunthorpe|Cardiff|0|3|4
1993-05-06|Sheff Wed|Arsenal|1|0|1
1993-05-06|Newcastle|Oxford|2|1|2
1993-05-05|Tottenham|Blackburn|1|2|1
1993-05-05|Oldham|Liverpool|3|2|1
1993-05-05|Man City|C Palace|0|0|1
1993-05-05|Derby|Notts Co|2|0|2
1993-05-04|Sheff Wed|Leeds|1|1|1
1993-05-04|Arsenal|QPR|0|0|1
1993-05-04|Everton|Sheff Utd|0|2|1
1993-05-04|Tranmere|Sunderland|2|1|2
1993-05-04|Grimsby|Newcastle|0|2|2
1993-05-04|Bolton|Stoke|1|0|3
1993-05-04|Exeter|Port Vale|1|1|3
1993-05-04|Swansea|Wigan|2|1|3
1993-05-04|Darlington (old)|Colchester|1|0|4
1993-05-03|Man Utd|Blackburn|3|1|1
1993-05-02|Aston Villa|Oldham|0|1|1
1993-05-02|Swindon|West Ham|1|3|2
1993-05-01|Chelsea|Coventry|2|1|1
1993-05-01|Sheff Wed|Middlesbro|2|3|1
1993-05-01|Tottenham|Wimbledon|1|1|1
1993-05-01|Nottm Forest|Sheff Utd|0|2|1
1993-05-01|Norwich|Liverpool|1|0|1
1993-05-01|C Palace|Ipswich|3|1|1
1993-05-01|Southampton|Man City|0|1|1
1993-05-01|Everton|Arsenal|0|0|1
1993-05-01|Leeds|QPR|1|1|1
1993-05-01|Charlton|Derby|2|1|2
1993-05-01|Wolves|Millwall|3|1|2
1993-05-01|Tranmere|Watford|2|1|2
1993-05-01|Luton|Peterborough|0|0|2
1993-05-01|Brentford|Barnsley|3|1|2
1993-05-01|Bristol R|Birmingham|3|3|2
1993-05-01|Oxford|Notts Co|1|1|2
1993-05-01|Sunderland|Portsmouth|4|1|2
1993-05-01|Cambridge U|Southend|3|1|2
1993-05-01|Leicester|Bristol C|0|0|2
1993-05-01|Leyton Orient|Bradford|4|2|3
1993-05-01|Preston|Mansfield|1|5|3
1993-05-01|Reading|Swansea|2|0|3
1993-05-01|Rotherham|West Brom|0|2|3
1993-05-01|Chester|Fulham|2|3|3
1993-05-01|Hartlepool|Brighton|2|0|3
1993-05-01|Stockport|Bournemouth|0|0|3
1993-05-01|Burnley|Blackpool|2|2|3
1993-05-01|Exeter|Huddersfield|1|2|3
1993-05-01|Wigan|Plymouth|0|2|3
1993-05-01|Gillingham|Halifax|2|0|4
1993-05-01|Barnet|Lincoln|1|1|4
1993-05-01|Colchester|Scunthorpe|1|0|4
1993-05-01|Carlisle|Torquay|0|1|4
1993-05-01|Bury|Crewe|1|2|4
1993-05-01|Chesterfield|Scarborough|0|3|4
1993-05-01|Walsall|Rochdale|3|1|4
1993-05-01|Hereford|Doncaster|0|2|4
1993-05-01|Cardiff|Shrewsbury|2|1|4
1993-04-30|Hull|Bolton|1|2|3
1993-04-28|Stoke|Plymouth|1|0|3
1993-04-27|Hull|Stockport|0|2|3
1993-04-27|Port Vale|Mansfield|3|0|3
1993-04-27|Bournemouth|Bolton|1|2|3
1993-04-27|Swansea|Preston|2|0|3
1993-04-27|Northampton|Wrexham|0|2|4
1993-04-27|Crewe|Walsall|0|1|4
1993-04-25|Newcastle|Sunderland|1|0|2
1993-04-24|Portsmouth|Wolves|2|0|2
1993-04-24|Birmingham|Tranmere|0|0|2
1993-04-24|Notts Co|Swindon|1|1|2
1993-04-24|Bristol C|Cambridge U|0|0|2
1993-04-24|Millwall|Charlton|1|0|2
1993-04-24|Watford|Brentford|1|0|2
1993-04-24|Peterborough|Leicester|3|0|2
1993-04-24|Barnsley|Oxford|0|1|2
1993-04-24|Derby|Luton|1|1|2
1993-04-24|West Ham|Bristol R|2|1|2
1993-04-24|Huddersfield|Hull|3|0|3
1993-04-24|Fulham|Burnley|4|0|3
1993-04-24|Blackpool|Stockport|2|0|3
1993-04-24|Bolton|Chester|5|0|3
