Date,Home Team,Away Team,Home Goals,Away Goals,Tier
11/05/1993,81,89,3,1,1
11/05/1993,5,100,1,3,1
09/05/1993,81,6,2,1,1
09/05/1993,107,61,1,2,1
09/05/1993,68,54,7,1,2
08/05/1993,88,26,4,2,1
08/05/1993,57,100,6,2,1
08/05/1993,10,89,1,0,1
08/05/1993,51,72,2,1,1
08/05/1993,31,53,3,3,1
08/05/1993,74,91,4,3,1
08/05/1993,5,34,3,0,1
08/05/1993,64,71,3,3,1
08/05/1993,60,39,2,5,1
08/05/1993,79,45,2,1,2
08/05/1993,9,25,1,0,2
08/05/1993,73,96,3,1,2
08/05/1993,92,58,2,1,2
08/05/1993,17,15,4,1,2
08/05/1993,65,18,0,3,2
08/05/1993,103,75,0,1,2
08/05/1993,76,101,1,1,2
08/05/1993,8,98,1,0,2
08/05/1993,37,108,2,0,2
08/05/1993,105,22,2,0,2
08/05/1993,49,94,2,1,3
08/05/1993,43,40,1,1,3
08/05/1993,11,78,2,4,3
08/05/1993,12,80,1,0,3
08/05/1993,2,106,0,0,3
08/05/1993,16,28,3,2,3
08/05/1993,95,19,1,1,3
08/05/1993,104,50,3,1,3
08/05/1993,62,84,1,3,3
08/05/1993,97,55,0,1,3
08/05/1993,14,47,0,2,3
08/05/1993,77,82,2,2,3
08/05/1993,90,70,2,3,4
08/05/1993,56,36,2,0,4
08/05/1993,99,44,2,1,4
08/05/1993,38,102,0,3,4
08/05/1993,109,30,4,3,4
08/05/1993,83,29,2,1,4
08/05/1993,33,7,4,1,4
08/05/1993,46,48,0,1,4
08/05/1993,86,24,2,2,4
08/05/1993,87,23,0,3,4
06/05/1993,89,5,1,0,1
06/05/1993,68,75,2,1,2
05/05/1993,100,10,1,2,1
05/05/1993,74,57,3,2,1
05/05/1993,60,34,0,0,1
05/05/1993,37,73,2,0,2
04/05/1993,89,53,1,1,1
04/05/1993,5,81,0,0,1
04/05/1993,39,88,0,2,1
04/05/1993,101,96,2,1,2
04/05/1993,45,68,0,2,2
04/05/1993,12,95,1,0,3
04/05/1993,40,78,1,1,3
04/05/1993,97,106,2,1,3
04/05/1993,36,30,1,0,4
03/05/1993,61,10,3,1,1
02/05/1993,6,74,0,1,1
02/05/1993,98,105,1,3,2
01/05/1993,26,31,2,1,1
01/05/1993,89,64,2,3,1
01/05/1993,100,107,1,1,1
01/05/1993,72,88,0,2,1
01/05/1993,71,57,1,0,1
01/05/1993,34,51,3,1,1
01/05/1993,91,60,0,1,1
01/05/1993,39,5,0,0,1
01/05/1993,53,81,1,1,1
01/05/1993,25,37,2,1,2
01/05/1993,108,65,3,1,2
01/05/1993,101,103,2,1,2
01/05/1993,58,76,0,0,2
01/05/1993,15,8,3,1,2
01/05/1993,18,9,3,3,2
01/05/1993,75,73,1,1,2
01/05/1993,96,79,4,1,2
01/05/1993,22,92,3,1,2
01/05/1993,54,17,0,0,2
01/05/1993,55,14,4,2,3
01/05/1993,80,62,1,5,3
01/05/1993,82,97,2,0,3
01/05/1993,84,104,0,2,3
01/05/1993,28,43,2,3,3
01/05/1993,47,16,2,0,3
01/05/1993,94,2,0,0,3
01/05/1993,19,11,2,2,3
01/05/1993,40,49,1,2,3
01/05/1993,106,77,0,2,3
01/05/1993,44,46,2,0,4
01/05/1993,7,56,1,1,4
01/05/1993,30,87,1,0,4
01/05/1993,24,99,0,1,4
01/05/1993,21,33,1,2,4
01/05/1993,29,86,0,3,4
01/05/1993,102,83,3,1,4
01/05/1993,48,38,0,2,4
01/05/1993,23,90,2,1,4
30/04/1993,50,12,1,2,3
28/04/1993,95,77,1,0,3
27/04/1993,50,94,0,2,3
27/04/1993,78,62,3,0,3
27/04/1993,2,12,1,2,3
27/04/1993,97,80,2,0,3
27/04/1993,70,109,0,2,4
27/04/1993,33,102,0,1,4
25/04/1993,68,96,1,0,2
24/04/1993,79,108,2,0,2
24/04/1993,9,101,0,0,2
24/04/1993,73,98,1,1,2
24/04/1993,17,22,0,0,2
24/04/1993,65,25,1,0,2
24/04/1993,103,15,1,0,2
24/04/1993,76,54,3,0,2
24/04/1993,8,75,0,1,2
24/04/1993,37,58,1,1,2
24/04/1993,105,18,2,1,2
24/04/1993,49,50,3,0,3
24/04/1993,43,19,4,0,3
24/04/1993,11,94,2,0,3
24/04/1993,12,28,5,0,3
24/04/1993,2,55,3,0,3
24/04/1993,16,84,1,2,3
24/04/1993,95,80,1,0,3
24/04/1993,104,106,5,1,3
24/04/1993,62,40,0,0,3
24/04/1993,97,47,3,0,3
24/04/1993,14,82,3,0,3
24/04/1993,77,78,0,1,3
24/04/1993,90,29,2,2,4
24/04/1993,56,21,1,2,4
24/04/1993,99,48,0,0,4
24/04/1993,38,70,2,2,4
24/04/1993,109,24,3,1,4
24/04/1993,83,112,1,0,4
24/04/1993,33,30,7,1,4
24/04/1993,46,102,0,4,4
24/04/1993,86,36,0,3,4
24/04/1993,87,7,2,0,4
23/04/1993,92,45,1,0,2
21/04/1993,89,88,1,1,1
21/04/1993,57,53,2,0,1
21/04/1993,10,6,3,0,1
21/04/1993,34,61,0,2,1
21/04/1993,5,72,1,1,1
21/04/1993,60,107,1,1,1
21/04/1993,82,104,1,1,3
20/04/1993,64,100,3,0,1
20/04/1993,17,37,0,0,2
20/04/1993,75,76,2,1,2
20/04/1993,54,92,4,1,2
20/04/1993,97,49,3,0,3
20/04/1993,99,56,1,2,4
20/04/1993,7,21,1,0,4
20/04/1993,30,70,2,0,4
20/04/1993,33,87,1,0,4
20/04/1993,86,90,1,2,4
19/04/1993,51,71,3,1,1
18/04/1993,6,60,3,1,1
17/04/1993,88,10,1,3,1
17/04/1993,57,31,4,0,1
17/04/1993,100,74,4,1,1
17/04/1993,107,72,1,0,1
17/04/1993,91,39,0,0,1
17/04/1993,61,26,3,0,1
17/04/1993,53,34,0,0,1
17/04/1993,108,101,0,2,2
17/04/1993,73,79,0,1,2
17/04/1993,18,22,1,1,2
17/04/1993,65,68,1,2,2
17/04/1993,75,25,0,1,2
17/04/1993,103,9,1,0,2
17/04/1993,96,58,2,2,2
17/04/1993,76,17,1,1,2
17/04/1993,8,92,3,1,2
17/04/1993,98,54,1,1,2
17/04/1993,37,45,2,1,2
17/04/1993,105,15,4,0,2
17/04/1993,80,55,1,4,3
17/04/1993,50,2,3,0,3
17/04/1993,43,11,1,0,3
17/04/1993,28,49,0,2,3
17/04/1993,95,47,0,1,3
17/04/1993,19,40,3,1,3
17/04/1993,62,104,0,3,3
17/04/1993,97,84,2,0,3
17/04/1993,106,78,0,4,3
17/04/1993,14,12,2,1,3
17/04/1993,77,16,3,2,3
17/04/1993,90,99,0,1,4
17/04/1993,56,83,1,2,4
17/04/1993,38,29,2,1,4
17/04/1993,109,23,0,2,4
17/04/1993,112,86,1,0,4
17/04/1993,24,48,0,0,4
17/04/1993,21,46,1,2,4
17/04/1993,102,33,1,0,4
17/04/1993,87,36,1,3,4
16/04/1993,94,82,2,2,3
16/04/1993,30,44,3,0,4
14/04/1993,71,53,4,2,1
14/04/1993,92,18,3,0,2
14/04/1993,54,65,3,0,2
14/04/1993,16,50,2,0,3
13/04/1993,74,88,1,1,1
13/04/1993,58,105,2,0,2
13/04/1993,22,103,1,1,2
13/04/1993,78,14,1,2,3
13/04/1993,11,28,2,0,3
13/04/1993,2,19,1,1,3
13/04/1993,99,7,0,1,4
13/04/1993,83,21,1,2,4
13/04/1993,86,30,0,1,4
12/04/1993,26,107,4,2,1
12/04/1993,89,91,5,2,1
12/04/1993,10,51,2,1,1
12/04/1993,72,100,2,1,1
12/04/1993,31,61,0,1,1
12/04/1993,34,64,4,1,1
12/04/1993,5,6,0,1,1
12/04/1993,39,81,3,5,1
12/04/1993,60,57,1,1,1
12/04/1993,79,37,3,0,2
12/04/1993,25,76,0,1,2
12/04/1993,9,98,4,6,2
12/04/1993,101,8,2,1,2
12/04/1993,17,108,1,0,2
12/04/1993,15,73,2,2,2
12/04/1993,45,96,1,0,2
12/04/1993,55,94,3,0,3
12/04/1993,49,106,2,1,3
12/04/1993,82,62,3,1,3
12/04/1993,12,97,3,1,3
12/04/1993,84,95,0,2,3
12/04/1993,47,43,0,3,3
12/04/1993,40,80,0,1,3
12/04/1993,104,77,2,5,3
12/04/1993,44,87,1,1,4
12/04/1993,70,102,0,0,4
12/04/1993,33,90,2,2,4
12/04/1993,29,109,2,3,4
12/04/1993,46,112,0,1,4
12/04/1993,48,24,1,0,4
12/04/1993,36,38,1,2,4
12/04/1993,23,56,3,1,4
11/04/1993,105,54,3,0,2
10/04/1993,57,74,1,0,1
10/04/1993,81,72,4,3,1
10/04/1993,51,5,1,2,1
10/04/1993,6,31,0,0,1
10/04/1993,64,39,1,2,1
10/04/1993,91,26,1,0,1
10/04/1993,61,89,2,1,1
10/04/1993,53,10,5,2,1
