Id|DivisionId|Season|TotalPlaces|PromotionPlaces|PlayOffPlaces|RelegationPlaces
1|1|1992 - 1993|22|0|0|3
2|1|1993 - 1994|22|0|0|3
3|1|1994 - 1995|22|0|0|4
4|1|1995 - 1996|20|0|0|3
5|1|1996 - 1997|20|0|0|3
6|1|1997 - 1998|20|0|0|3
7|1|1998 - 1999|20|0|0|3
8|1|1999 - 2000|20|0|0|3
9|1|2000 - 2001|20|0|0|3
10|1|2001 - 2002|20|0|0|3
11|1|2002 - 2003|20|0|0|3
12|1|2003 - 2004|20|0|0|3
13|1|2004 - 2005|20|0|0|3
14|1|2005 - 2006|20|0|0|3
15|1|2006 - 2007|20|0|0|3
16|1|2007 - 2008|20|0|0|3
17|1|2008 - 2009|20|0|0|3
18|1|2009 - 2010|20|0|0|3
19|1|2010 - 2011|20|0|0|3
20|1|2011 - 2012|20|0|0|3
21|1|2012 - 2013|20|0|0|3
22|1|2013 - 2014|20|0|0|3
23|1|2014 - 2015|20|0|0|3
24|1|2015 - 2016|20|0|0|3
25|1|2016 - 2017|20|0|0|3
26|1|2017 - 2018|20|0|0|3
27|3|1992 - 1993|24|2|4|3
28|3|1993 - 1994|24|2|4|3
29|3|1994 - 1995|24|1|4|4
30|3|1995 - 1996|24|2|4|3
31|3|1996 - 1997|24|2|4|3
32|3|1997 - 1998|24|2|4|3
33|3|1995 - 1996|24|2|4|3
34|3|1998 - 1999|24|2|4|3
35|3|1999 - 2000|24|2|4|3
36|3|2000 - 2001|24|2|4|3
37|3|2001 - 2002|24|2|4|3
38|3|2002 - 2003|24|2|4|3
39|3|2003 - 2004|24|2|4|3
40|2|2004 - 2005|24|2|4|3
41|2|2005 - 2006|24|2|4|3
42|2|2006 - 2007|24|2|4|3
43|2|2007 - 2008|24|2|4|3
44|2|2008 - 2009|24|2|4|3
45|2|2009 - 2010|24|2|4|3
46|2|2010 - 2011|24|2|4|3
47|2|2011 - 2012|24|2|4|3
48|2|2012 - 2013|24|2|4|3
49|2|2013 - 2014|24|2|4|3
50|2|2014 - 2015|24|2|4|3
51|2|2015 - 2016|24|2|4|3
52|2|2017 - 2018|24|2|4|3
53|2|2016 - 2017|24|2|4|3
54|5|1992 - 1993|24|2|4|4
55|5|1993 - 1994|24|2|4|4
56|5|1994 - 1995|24|1|4|5
57|5|1995 - 1996|24|2|4|4
58|5|1996 - 1997|24|2|4|4
59|5|1997 - 1998|24|2|4|4
60|5|1995 - 1996|24|2|4|4
61|5|1998 - 1999|24|2|4|4
62|5|1999 - 2000|24|2|4|4
63|5|2000 - 2001|24|2|4|4
64|5|2001 - 2002|24|2|4|4
65|5|2002 - 2003|24|2|4|4
66|5|2003 - 2004|24|2|4|4
67|4|2004 - 2005|24|2|4|4
68|4|2005 - 2006|24|2|4|4
69|4|2006 - 2007|24|2|4|4
70|4|2007 - 2008|24|2|4|4
71|4|2008 - 2009|24|2|4|4
72|4|2009 - 2010|24|2|4|4
73|4|2010 - 2011|24|2|4|4
74|4|2011 - 2012|24|2|4|4
75|4|2012 - 2013|24|2|4|4
76|4|2013 - 2014|24|2|4|4
77|4|2014 - 2015|24|2|4|4
78|4|2015 - 2016|24|2|4|4
79|4|2017 - 2018|24|2|4|4
80|4|2016 - 2017|24|2|4|4
81|7|1992 - 1993|22|3|4|1
82|7|1993 - 1994|22|3|4|0
83|7|1994 - 1995|22|2|4|0
84|7|1995 - 1996|24|3|4|0
85|7|1996 - 1997|24|3|4|1
86|7|1997 - 1998|24|3|4|1
87|7|1995 - 1996|24|3|4|1
88|7|1998 - 1999|24|3|4|1
89|7|1999 - 2000|24|3|4|1
90|7|2000 - 2001|24|3|4|1
91|7|2001 - 2002|24|3|4|1
92|7|2002 - 2003|24|3|4|2
93|7|2003 - 2004|24|3|4|2
94|6|2004 - 2005|24|3|4|2
95|6|2005 - 2006|24|3|4|2
96|6|2006 - 2007|24|3|4|2
97|6|2007 - 2008|24|3|4|2
98|6|2008 - 2009|24|3|4|2
99|6|2009 - 2010|24|3|4|2
100|6|2010 - 2011|24|3|4|2
101|6|2011 - 2012|24|3|4|2
102|6|2012 - 2013|24|3|4|2
103|6|2013 - 2014|24|3|4|2
104|6|2014 - 2015|24|3|4|2
105|6|2015 - 2016|24|3|4|2
106|6|2017 - 2018|24|3|4|2
107|6|2016 - 2017|24|3|4|2
