Id,MatchDate,HomeGoals,AwayGoals,DivisionId,HomeClubId,AwayClubId
52872,1992-08-15,1,1,1,26,74
52873,1992-08-15,2,1,1,88,61
52874,1992-08-15,1,1,1,51,6
52875,1992-08-15,2,1,1,31,64
52876,1992-08-15,3,3,1,34,10
52877,1992-08-15,2,4,1,5,71
52878,1992-08-15,0,0,1,91,100
52879,1992-08-15,1,1,1,39,89
52880,1992-08-15,2,1,1,53,107
52881,1992-08-15,3,1,3,25,45
52882,1992-08-15,3,2,3,68,92
52883,1992-08-15,2,0,3,101,22
52884,1992-08-15,3,3,3,17,79
52885,1992-08-15,0,2,3,15,108
52886,1992-08-15,2,1,3,75,18
52887,1992-08-15,3,1,3,103,65
52888,1992-08-15,1,0,3,76,37
52889,1992-08-15,1,0,3,98,96
52890,1992-08-15,2,1,3,54,58
52891,1992-08-15,3,2,5,55,16
52892,1992-08-15,1,1,5,80,2
52893,1992-08-15,1,0,5,50,95
52894,1992-08-15,0,0,5,78,43
52895,1992-08-15,2,0,5,12,49
52896,1992-08-15,1,1,5,47,82
52897,1992-08-15,1,0,5,19,97
52898,1992-08-15,0,2,5,40,84
52899,1992-08-15,3,1,5,104,11
52900,1992-08-15,0,0,5,62,77
52901,1992-08-15,1,2,5,106,94
52902,1992-08-15,3,1,5,14,28
52903,1992-08-15,2,3,7,38,21
52904,1992-08-15,2,3,7,44,70
52905,1992-08-15,2,0,7,112,90
52906,1992-08-15,2,1,7,30,56
52907,1992-08-15,2,3,7,83,46
52908,1992-08-15,3,4,7,24,102
52909,1992-08-15,4,2,7,33,99
52910,1992-08-15,1,2,7,29,7
52911,1992-08-15,1,1,7,48,86
52912,1992-08-15,0,0,7,23,36
52869,1992-08-16,1,0,1,72,57
52870,1992-08-16,1,0,3,9,73
52871,1992-08-16,0,1,3,8,105
52868,1992-08-17,1,1,1,60,81
52864,1992-08-18,1,0,1,10,5
52865,1992-08-18,0,1,1,107,51
52866,1992-08-18,3,0,3,108,54
52867,1992-08-18,0,1,3,22,25
52854,1992-08-19,2,0,1,89,72
52855,1992-08-19,2,1,1,57,88
52856,1992-08-19,0,2,1,100,31
52857,1992-08-19,3,1,1,81,91
52858,1992-08-19,2,1,1,71,26
52859,1992-08-19,1,1,1,74,34
52860,1992-08-19,1,1,1,6,53
52861,1992-08-19,2,0,1,64,60
52862,1992-08-19,0,3,1,61,39
52863,1992-08-19,3,4,3,18,98
52852,1992-08-21,3,1,7,7,30
52853,1992-08-21,0,1,7,36,48
52811,1992-08-22,3,3,1,89,26
