Id,DivisionId,TotalPlaces,PromotionPlaces,PlayOffPlaces,RelegationPlaces,RelegationPlayOffPlaces,Comments,ReElectionPlaces,PointsForWin,FailedReElectionPosition,StartYear,EndYear
1,1,22,0,0,3,0,,0,3,,1992,1993
2,1,22,0,0,3,0,,0,3,,1993,1994
3,1,22,0,0,4,0,,0,3,,1994,1995
4,1,20,0,0,3,0,,0,3,,1995,1996
5,1,20,0,0,3,0,,0,3,,1996,1997
6,1,20,0,0,3,0,,0,3,,1997,1998
7,1,20,0,0,3,0,,0,3,,1998,1999
8,1,20,0,0,3,0,,0,3,,1999,2000
9,1,20,0,0,3,0,,0,3,,2000,2001
10,1,20,0,0,3,0,,0,3,,2001,2002
11,1,20,0,0,3,0,,0,3,,2002,2003
12,1,20,0,0,3,0,,0,3,,2003,2004
13,1,20,0,0,3,0,,0,3,,2004,2005
14,1,20,0,0,3,0,,0,3,,2005,2006
15,1,20,0,0,3,0,,0,3,,2006,2007
16,1,20,0,0,3,0,,0,3,,2007,2008
17,1,20,0,0,3,0,,0,3,,2008,2009
18,1,20,0,0,3,0,,0,3,,2009,2010
19,1,20,0,0,3,0,,0,3,,2010,2011
20,1,20,0,0,3,0,,0,3,,2011,2012
21,1,20,0,0,3,0,,0,3,,2012,2013
22,1,20,0,0,3,0,,0,3,,2013,2014
23,1,20,0,0,3,0,,0,3,,2014,2015
24,1,20,0,0,3,0,,0,3,,2015,2016
25,1,20,0,0,3,0,,0,3,,2016,2017
26,1,20,0,0,3,0,,0,3,,2017,2018
27,3,24,2,4,3,0,,0,3,,1992,1993
28,3,24,2,4,3,0,,0,3,,1993,1994
29,3,24,1,4,4,0,,0,3,,1994,1995
30,3,24,2,4,3,0,,0,3,,1995,1996
31,3,24,2,4,3,0,,0,3,,1996,1997
32,3,24,2,4,3,0,,0,3,,1997,1998
34,3,24,2,4,3,0,,0,3,,1998,1999
35,3,24,2,4,3,0,,0,3,,1999,2000
36,3,24,2,4,3,0,,0,3,,2000,2001
37,3,24,2,4,3,0,,0,3,,2001,2002
38,3,24,2,4,3,0,,0,3,,2002,2003
39,3,24,2,4,3,0,,0,3,,2003,2004
40,2,24,2,4,3,0,,0,3,,2004,2005
41,2,24,2,4,3,0,,0,3,,2005,2006
42,2,24,2,4,3,0,,0,3,,2006,2007
43,2,24,2,4,3,0,,0,3,,2007,2008
44,2,24,2,4,3,0,,0,3,,2008,2009
45,2,24,2,4,3,0,,0,3,,2009,2010
46,2,24,2,4,3,0,,0,3,,2010,2011
47,2,24,2,4,3,0,,0,3,,2011,2012
48,2,24,2,4,3,0,,0,3,,2012,2013
49,2,24,2,4,3,0,,0,3,,2013,2014
50,2,24,2,4,3,0,,0,3,,2014,2015
51,2,24,2,4,3,0,,0,3,,2015,2016
52,2,24,2,4,3,0,,0,3,,2017,2018
53,2,24,2,4,3,0,,0,3,,2016,2017
54,5,24,2,4,4,0,,0,3,,1992,1993
55,5,24,2,4,4,0,,0,3,,1993,1994
56,5,24,1,4,5,0,,0,3,,1994,1995
57,5,24,2,4,4,0,,0,3,,1995,1996
58,5,24,2,4,4,0,,0,3,,1996,1997
59,5,24,2,4,4,0,,0,3,,1997,1998
61,5,24,2,4,4,0,,0,3,,1998,1999
62,5,24,2,4,4,0,,0,3,,1999,2000
63,5,24,2,4,4,0,,0,3,,2000,2001
64,5,24,2,4,4,0,,0,3,,2001,2002
