Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1910-04-30|Preston|Bolton|1|0|1
1910-04-30|Sheff Wed|Sunderland|1|0|1
1910-04-30|Liverpool|Aston Villa|2|0|1
1910-04-30|Tottenham|Chelsea|2|1|1
1910-04-30|Newcastle|Sheff Utd|0|0|1
1910-04-30|Bristol C|Nottm Forest|4|0|1
1910-04-30|Bury|Blackburn|2|1|1
1910-04-30|Man Utd|Middlesbro|4|1|1
1910-04-30|Bradford|Everton|2|0|1
1910-04-30|Fulham|Leyton Orient|0|0|2
1910-04-30|Wolves|Man City|3|2|2
1910-04-30|Birmingham|Stockport|3|0|2
1910-04-30|Gainsborough|Grimsby|1|1|2
1910-04-30|Oldham|Hull|3|0|2
1910-04-30|Glossop|Bradford PA|3|1|2
1910-04-30|Burnley|Lincoln|3|0|2
1910-04-30|West Brom|Derby|0|0|2
1910-04-30|Barnsley|Blackpool|1|0|2
1910-04-30|Leeds City|Leicester|1|1|2
1910-04-28|Glossop|Derby|1|1|2
1910-04-27|Aston Villa|Newcastle|4|0|1
1910-04-26|Grimsby|Barnsley|7|0|2
1910-04-26|Oldham|Derby|4|0|2
1910-04-26|Glossop|West Brom|3|2|2
1910-04-25|Bristol C|Newcastle|0|3|1
1910-04-25|Leyton Orient|Leicester|3|0|2
1910-04-23|Chelsea|Bury|2|0|1
1910-04-23|Blackburn|Sheff Utd|3|1|1
1910-04-23|Nottm Forest|Sheff Wed|0|6|1
1910-04-23|Bolton|Tottenham|0|2|1
1910-04-23|Arsenal|Preston|1|3|1
1910-04-23|Middlesbro|Liverpool|2|2|1
1910-04-23|Everton|Man Utd|3|3|1
1910-04-23|Sunderland|Bradford|3|0|1
1910-04-23|Lincoln|Fulham|2|2|2
1910-04-23|Hull|West Brom|5|1|2
1910-04-23|Blackpool|Oldham|1|3|2
1910-04-23|Grimsby|Wolves|1|0|2
1910-04-23|Stockport|Glossop|5|0|2
1910-04-23|Man City|Leeds City|3|0|2
1910-04-23|Derby|Birmingham|3|1|2
1910-04-23|Bradford PA|Gainsborough|2|0|2
1910-04-23|Leicester|Burnley|1|1|2
1910-04-20|Liverpool|Nottm Forest|7|3|1
1910-04-20|Bury|Tottenham|3|1|1
1910-04-20|Middlesbro|Bristol C|0|0|1
1910-04-20|Gainsborough|Hull|0|1|2
1910-04-18|Burnley|Glossop|0|1|2
1910-04-16|Preston|Sheff Utd|1|1|1
1910-04-16|Sheff Wed|Blackburn|2|1|1
1910-04-16|Tottenham|Arsenal|1|1|1
1910-04-16|Newcastle|Liverpool|1|3|1
1910-04-16|Notts Co|Aston Villa|2|3|1
1910-04-16|Bristol C|Chelsea|1|0|1
1910-04-16|Bury|Bolton|1|2|1
1910-04-16|Everton|Middlesbro|1|1|1
1910-04-16|Man Utd|Sunderland|2|0|1
1910-04-16|Bradford|Nottm Forest|1|1|1
1910-04-16|Lincoln|Barnsley|2|1|2
1910-04-16|Fulham|Leicester|2|0|2
1910-04-16|Wolves|Gainsborough|0|0|2
1910-04-16|Birmingham|Hull|0|2|2
1910-04-16|Oldham|Leyton Orient|5|0|2
1910-04-16|Stockport|Bradford PA|2|1|2
1910-04-16|Burnley|Man City|3|3|2
1910-04-16|West Brom|Blackpool|0|3|2
1910-04-16|Leeds City|Grimsby|3|1|2
1910-04-14|Hull|Leicester|2|1|2
1910-04-14|Barnsley|West Brom|2|1|2
1910-04-13|Newcastle|Sunderland|1|0|1
1910-04-13|Notts Co|Everton|2|3|1
1910-04-13|Man City|Leyton Orient|2|1|2
1910-04-11|Blackburn|Everton|2|1|1
1910-04-11|Arsenal|Aston Villa|1|0|1
1910-04-09|Chelsea|Sheff Wed|4|1|1
1910-04-09|Sheff Utd|Tottenham|1|1|1
1910-04-09|Liverpool|Notts Co|2|1|1
1910-04-09|Blackburn|Bradford|2|0|1
1910-04-09|Nottm Forest|Man Utd|2|0|1
1910-04-09|Bolton|Bristol C|4|2|1
1910-04-09|Arsenal|Bury|0|0|1
1910-04-09|Aston Villa|Preston|3|0|1
1910-04-09|Middlesbro|Newcastle|1|1|1
1910-04-09|Sunderland|Everton|0|1|1
1910-04-09|Leyton Orient|West Brom|1|3|2
1910-04-09|Lincoln|Oldham|0|2|2
1910-04-09|Hull|Glossop|4|2|2
1910-04-09|Gainsborough|Leeds City|2|0|2
1910-04-09|Blackpool|Birmingham|2|0|2
1910-04-09|Grimsby|Burnley|5|3|2
1910-04-09|Man City|Fulham|3|1|2
1910-04-09|Derby|Stockport|1|0|2
1910-04-09|Bradford PA|Wolves|2|3|2
1910-04-09|Leicester|Barnsley|1|1|2
1910-04-07|Leyton Orient|Barnsley|4|0|2
1910-04-06|Man Utd|Everton|3|2|1
1910-04-06|Glossop|Man City|0|3|2
1910-04-06|Stockport|Leicester|6|2|2
1910-04-02|Preston|Liverpool|2|0|1
1910-04-02|Sheff Wed|Bolton|0|0|1
1910-04-02|Tottenham|Aston Villa|1|1|1
1910-04-02|Notts Co|Newcastle|2|2|1
1910-04-02|Bristol C|Arsenal|0|1|1
1910-04-02|Bury|Sheff Utd|2|0|1
1910-04-02|Everton|Nottm Forest|0|4|1
1910-04-02|Man Utd|Blackburn|2|0|1
1910-04-02|Sunderland|Middlesbro|2|2|1
1910-04-02|Bradford|Chelsea|4|1|1
1910-04-02|Fulham|Grimsby|3|2|2
1910-04-02|Birmingham|Leyton Orient|1|2|2
1910-04-02|Oldham|Leicester|2|1|2
1910-04-02|Glossop|Blackpool|2|3|2
1910-04-02|Stockport|Hull|1|5|2
1910-04-02|Burnley|Gainsborough|2|1|2
1910-04-02|West Brom|Lincoln|1|1|2
1910-04-02|Barnsley|Man City|1|1|2
1910-04-02|Derby|Bradford PA|1|2|2
1910-04-02|Leeds City|Wolves|1|0|2
1910-03-29|Tottenham|Blackburn|4|0|1
1910-03-29|Bradford|Preston|2|0|1
1910-03-29|West Brom|Fulham|3|2|2
1910-03-28|Chelsea|Arsenal|0|1|1
1910-03-28|Sheff Wed|Bradford|2|1|1
1910-03-28|Notts Co|Bolton|0|0|1
1910-03-28|Bristol C|Man Utd|2|1|1
1910-03-28|Middlesbro|Aston Villa|3|2|1
1910-03-28|Everton|Bury|3|0|1
1910-03-28|Sunderland|Liverpool|2|1|1
1910-03-28|Leyton Orient|Leeds City|0|2|2
1910-03-28|Hull|Burnley|3|2|2
1910-03-28|Grimsby|Leicester|0|0|2
1910-03-28|Stockport|Wolves|1|1|2
1910-03-28|Man City|Gainsborough|3|1|2
1910-03-28|West Brom|Glossop|0|0|2
1910-03-28|Barnsley|Lincoln|2|1|2
1910-03-28|Derby|Oldham|1|1|2
1910-03-28|Bradford PA|Birmingham|5|0|2
1910-03-26|Chelsea|Man Utd|1|1|1
1910-03-26|Sheff Utd|Bristol C|4|0|1
1910-03-26|Liverpool|Tottenham|2|0|1
1910-03-26|Blackburn|Bolton|4|2|1
1910-03-26|Nottm Forest|Sunderland|1|3|1
1910-03-26|Arsenal|Sheff Wed|0|1|1
1910-03-26|Aston Villa|Bury|4|1|1
1910-03-26|Middlesbro|Notts Co|2|0|1
1910-03-26|Leyton Orient|Glossop|0|0|2
1910-03-26|Lincoln|Birmingham|3|2|2
1910-03-26|Hull|Derby|0|0|2
1910-03-26|Wolves|Burnley|3|1|2
1910-03-26|Gainsborough|Fulham|2|0|2
1910-03-26|Blackpool|Stockport|2|0|2
1910-03-26|Man City|Oldham|0|2|2
1910-03-26|Bradford PA|Leeds City|4|2|2
1910-03-26|Leicester|West Brom|2|1|2
1910-03-25|Liverpool|Sheff Utd|0|0|1
1910-03-25|Tottenham|Sunderland|5|1|1
1910-03-25|Newcastle|Arsenal|1|1|1
1910-03-25|Blackburn|Notts Co|2|0|1
1910-03-25|Nottm Forest|Preston|0|0|1
1910-03-25|Aston Villa|Middlesbro|4|2|1
1910-03-25|Man Utd|Bristol C|2|1|1
1910-03-25|Bradford|Sheff Wed|2|0|1
1910-03-25|Lincoln|Wolves|1|0|2
1910-03-25|Fulham|Derby|0|0|2
1910-03-25|Gainsborough|Leicester|0|1|2
1910-03-25|Blackpool|Burnley|2|3|2
1910-03-25|Grimsby|Man City|0|1|2
1910-03-25|Stockport|Oldham|2|0|2
1910-03-19|Preston|Notts Co|4|0|1
1910-03-19|Sheff Wed|Sheff Utd|1|3|1
1910-03-19|Tottenham|Newcastle|0|4|1
1910-03-19|Nottm Forest|Middlesbro|0|1|1
1910-03-19|Bristol C|Aston Villa|0|0|1
1910-03-19|Bury|Liverpool|1|2|1
1910-03-19|Everton|Chelsea|2|2|1
1910-03-19|Man Utd|Bolton|5|0|1
1910-03-19|Sunderland|Blackburn|0|0|1
1910-03-19|Bradford|Arsenal|0|1|1
1910-03-19|Hull|Bradford PA|2|1|2
1910-03-19|Fulham|Wolves|0|0|2
1910-03-19|Birmingham|Leicester|2|1|2
1910-03-19|Oldham|Grimsby|4|1|2
1910-03-19|Glossop|Lincoln|0|1|2
1910-03-19|Stockport|Leyton Orient|3|0|2
1910-03-19|Burnley|Leeds City|3|0|2
1910-03-19|West Brom|Man City|0|0|2
1910-03-19|Barnsley|Gainsborough|4|1|2
1910-03-19|Derby|Blackpool|2|1|2
1910-03-17|Barnsley|Leeds City|1|1|2
1910-03-16|Sunderland|Sheff Utd|1|0|1
1910-03-16|Derby|Man City|3|1|2
1910-03-14|Sheff Wed|Tottenham|1|1|1
1910-03-14|Everton|Aston Villa|0|0|1
1910-03-14|Oldham|Barnsley|5|0|2
