Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1970-02-17|Swansea|Wrexham|1|2|4
1970-02-17|QPR|Norwich|4|0|2
1970-02-16|Liverpool|Newcastle|0|0|1
1970-02-16|Leyton Orient|Barnsley|4|2|3
1970-02-16|Barrow|Brighton|1|1|3
1970-02-16|Bury|Torquay|1|0|3
1970-02-14|Grimsby|Workington|1|1|4
1970-02-14|Oldham|Notts Co|5|0|4
1970-02-14|Chester|Scunthorpe|1|1|4
1970-02-14|Exeter|Wrexham|1|0|4
1970-02-14|Tottenham|Leeds|1|1|1
1970-02-14|Stoke|Wolves|1|1|1
1970-02-14|Everton|Arsenal|2|2|1
1970-02-14|Burnley|Derby|1|1|1
1970-02-14|Man Utd|C Palace|1|1|1
1970-02-14|Portsmouth|Blackpool|2|3|2
1970-02-14|Hull|QPR|1|2|2
1970-02-14|Birmingham|Leicester|0|1|2
1970-02-14|Norwich|Aston Villa|3|1|2
1970-02-14|Millwall|Bolton|2|0|2
1970-02-14|Watford|Bristol C|2|0|2
1970-02-14|Cardiff|Carlisle|1|1|2
1970-02-14|Shrewsbury|Halifax|3|1|3
1970-02-14|Bournemouth|Barnsley|3|1|3
1970-02-14|Bristol R|Southport|2|0|3
1970-02-14|Barrow|Luton|2|1|3
1970-02-14|Bury|Rotherham|2|1|3
1970-02-14|Bradford|Fulham|0|0|3
1970-02-14|Plymouth|Reading|1|1|3
1970-02-11|Newcastle|Southampton|2|1|1
1970-02-11|C Palace|Burnley|1|2|1
1970-02-11|Derby|Chelsea|2|2|1
1970-02-11|West Ham|Coventry|1|2|1
1970-02-11|Bolton|Middlesbro|2|1|2
1970-02-11|Reading|Halifax|4|1|3
1970-02-10|Oldham|Lincoln|1|1|4
1970-02-10|Scunthorpe|Brentford|1|1|4
1970-02-10|Ipswich|Man Utd|0|1|1
1970-02-10|Leeds|West Brom|5|1|1
1970-02-10|Carlisle|Watford|5|0|2
1970-02-10|Bristol R|Luton|3|0|3
1970-02-09|York|Workington|1|0|4
1970-02-09|Sheff Utd|Swindon|1|2|2
1970-02-09|Barnsley|Plymouth|0|1|3
1970-02-07|Lincoln|Aldershot|1|1|4
1970-02-07|Port Vale|York|1|1|4
1970-02-07|Newport C (old)|Peterborough|0|1|4
1970-02-07|Notts Co|Chesterfield|1|1|4
1970-02-07|Crewe|Exeter|1|1|4
1970-02-07|Hartlepool|Chester|1|2|4
1970-02-07|Darlington (old)|Grimsby|0|0|4
1970-02-07|Swansea|Oldham|4|0|4
1970-02-07|Bradford PA|Colchester|0|1|4
1970-02-07|Wolves|Tottenham|2|2|1
1970-02-07|Arsenal|Stoke|0|0|1
1970-02-07|Southampton|Sheff Wed|4|0|1
1970-02-07|Man City|Nottm Forest|1|1|1
1970-02-07|Charlton|Huddersfield|1|2|2
1970-02-07|Blackpool|Millwall|1|1|2
1970-02-07|Bristol C|Portsmouth|3|0|2
1970-02-07|Aston Villa|Cardiff|1|1|2
1970-02-07|Oxford|Hull|0|0|2
1970-02-07|Torquay|Barrow|1|1|3
1970-02-07|Reading|Leyton Orient|3|2|3
1970-02-07|Luton|Doncaster|4|0|3
1970-02-07|Brighton|Shrewsbury|1|0|3
1970-02-07|Rochdale|Plymouth|2|1|3
1970-02-07|Rotherham|Bristol R|0|0|3
1970-02-07|Barnsley|Bradford|3|2|3
1970-02-06|Workington|Southend|5|0|4
1970-02-06|Newcastle|West Brom|1|0|1
1970-02-06|Fulham|Bournemouth|1|1|3
1970-02-06|Southport|Bury|4|0|3
1970-02-04|Bradford|Rochdale|0|3|3
1970-02-02|Hartlepool|Aldershot|1|3|4
1970-02-02|Stockport|Halifax|0|1|3
1970-01-31|Northampton|Bradford PA|3|0|4
1970-01-31|Southend|Wrexham|1|0|4
1970-01-31|Aldershot|Port Vale|2|0|4
1970-01-31|York|Notts Co|1|2|4
1970-01-31|Colchester|Newport C (old)|1|1|4
1970-01-31|Brentford|Workington|1|0|4
1970-01-31|Grimsby|Crewe|0|2|4
1970-01-31|Oldham|Hartlepool|1|0|4
1970-01-31|Chesterfield|Scunthorpe|2|1|4
1970-01-31|Chester|Darlington (old)|1|3|4
1970-01-31|Exeter|Lincoln|1|2|4
1970-01-31|Peterborough|Swansea|1|1|4
1970-01-31|Chelsea|Sunderland|3|1|1
1970-01-31|Sheff Wed|Ipswich|2|2|1
1970-01-31|Tottenham|Southampton|0|1|1
1970-01-31|Newcastle|C Palace|0|0|1
1970-01-31|Nottm Forest|Liverpool|1|0|1
1970-01-31|Coventry|Arsenal|2|0|1
1970-01-31|Stoke|Leeds|1|1|1
1970-01-31|Everton|Wolves|1|0|1
1970-01-31|Burnley|West Ham|3|2|1
1970-01-31|West Brom|Man City|3|0|1
1970-01-31|Man Utd|Derby|1|0|1
1970-01-31|Portsmouth|Charlton|5|1|2
1970-01-31|Preston|Aston Villa|1|1|2
1970-01-31|Huddersfield|Carlisle|1|0|2
1970-01-31|Hull|Sheff Utd|2|3|2
1970-01-31|Birmingham|Bristol C|2|2|2
1970-01-31|Norwich|Blackburn|0|1|2
1970-01-31|Middlesbro|QPR|1|0|2
1970-01-31|Millwall|Oxford|0|0|2
1970-01-31|Watford|Leicester|2|1|2
1970-01-31|Swindon|Bolton|3|2|2
1970-01-31|Cardiff|Blackpool|2|2|2
1970-01-31|Leyton Orient|Tranmere|2|0|3
1970-01-31|Shrewsbury|Rochdale|1|0|3
