Date|Home Team|Away Team|Home Goals|Away Goals|Tier
1991-05-20|Man Utd|Tottenham|1|1|1
1991-05-11|Lincoln|Carlisle|6|2|4
1991-05-11|Torquay|York|2|1|4
1991-05-11|Gillingham|Doncaster|2|0|4
1991-05-11|Chesterfield|Peterborough|2|2|4
1991-05-11|Halifax|Aldershot|3|0|4
1991-05-11|Hartlepool|Northampton|3|1|4
1991-05-11|Stockport|Scunthorpe|5|0|4
1991-05-11|Walsall|Blackpool|2|0|4
1991-05-11|Burnley|Wrexham|2|0|4
1991-05-11|Scarborough|Hereford|2|1|4
1991-05-11|Darlington (old)|Rochdale|2|0|4
1991-05-11|Cardiff|Maidstone|0|0|4
1991-05-11|Sheff Utd|Norwich|2|1|1
1991-05-11|Liverpool|Tottenham|2|0|1
1991-05-11|QPR|Everton|1|1|1
1991-05-11|Nottm Forest|Leeds|4|3|1
1991-05-11|Luton|Derby|2|0|1
1991-05-11|C Palace|Man Utd|3|0|1
1991-05-11|Arsenal|Coventry|6|1|1
1991-05-11|Aston Villa|Chelsea|2|2|1
1991-05-11|Southampton|Wimbledon|1|1|1
1991-05-11|Man City|Sunderland|3|2|1
1991-05-11|Newcastle|Hull|1|2|2
1991-05-11|Wolves|Portsmouth|3|1|2
1991-05-11|Port Vale|Swindon|3|1|2
1991-05-11|Brighton|Ipswich|2|1|2
1991-05-11|Bristol R|West Brom|1|1|2
1991-05-11|Oldham|Sheff Wed|3|2|2
1991-05-11|Millwall|Blackburn|2|1|2
1991-05-11|Watford|Bristol C|2|3|2
1991-05-11|Barnsley|Middlesbro|1|0|2
1991-05-11|West Ham|Notts Co|1|2|2
1991-05-11|Plymouth|Charlton|2|0|2
1991-05-11|Leicester|Oxford|1|0|2
1991-05-11|Preston|Wigan|2|1|3
1991-05-11|Shrewsbury|Bournemouth|3|1|3
1991-05-11|Huddersfield|Birmingham|0|1|3
1991-05-11|Fulham|Leyton Orient|1|1|3
1991-05-11|Tranmere|Bury|1|2|3
1991-05-11|Reading|Stoke|1|0|3
1991-05-11|Southend|Brentford|0|1|3
1991-05-11|Bolton|Chester|1|0|3
1991-05-11|Grimsby|Exeter|2|1|3
1991-05-11|Crewe|Mansfield|3|0|3
1991-05-11|Cambridge U|Swansea|2|0|3
1991-05-11|Bradford|Rotherham|1|0|3
1991-05-09|Swansea|Bradford|0|2|3
1991-05-08|Maidstone|Aldershot|1|1|4
1991-05-08|Aston Villa|Norwich|2|1|1
1991-05-08|Derby|Everton|2|3|1
1991-05-08|Leeds|Sheff Utd|2|1|1
1991-05-08|Sheff Wed|Bristol C|3|1|2
1991-05-08|West Ham|Bristol R|1|0|2
1991-05-07|Doncaster|Torquay|1|1|4
1991-05-07|Blackpool|Northampton|2|1|4
1991-05-07|Peterborough|Hereford|3|0|4
1991-05-07|Scunthorpe|Wrexham|2|0|4
1991-05-07|Notts Co|Ipswich|3|1|2
1991-05-07|Oldham|Middlesbro|2|0|2
